unsat_SMILE,sat_SMILE,delta_H,nH2,pH2
CC1(CC=O)COCO1,CC1(CCO)COCO1,65.1622845,1,1.53
CC1(CC=O)OCCO1,CC1(CCO)OCCO1,67.4779755,1,1.53
CC1(CC=CC1)C1CC1,CC1(CCCC1)C1CC1,103.8569035,1,1.62
CC1(CC=CC1)C1CO1,CC1(CCCC1)C1CO1,103.470955,1,1.6
OC1(CC=CC1)C1CC1,OC1(CCCC1)C1CC1,101.6829895,1,1.6
OC1(CC=CC1)C1CO1,OC1(CCCC1)C1CO1,106.474527,1,1.57
CC1(CCC1)C(=O)C=O,CC1(CCC1)C(O)CO,71.345337,2,3.1
CC1(CCO1)C(=O)C=O,CC1(CCO1)C(O)CO,85.23817025,2,3.05
CC1(COC1)C(=O)C=O,CC1(COC1)C(O)CO,73.03484625,2,3.05
CC1(CCC1=O)C1CC1,CC1(CCC1O)C1CC1,44.9459345,1,1.6
CC1(CCC1=O)C1CO1,CC1(CCC1O)C1CO1,62.618175,1,1.57
CC1(CCC1=O)N1CC1,CC1(CCC1O)N1CC1,60.5519065,1,1.59
CC1(OCC1=O)C1CC1,CC1(OCC1O)C1CC1,52.399729,1,1.57
CC1(OCC1=O)C1CN1,CC1(OCC1O)C1CN1,62.324119,1,1.56
CC1(OCC1=O)C1CO1,CC1(OCC1O)C1CO1,59.9375395,1,1.55
CC1(CCC1)OCC=O,CC1(CCC1)OCCO,78.8096335,1,1.55
CC1(CCC=O)CCC1,CC1(CCCO)CCC1,64.702822,1,1.57
CC1(CCC=O)CCO1,CC1(CCCO)CCO1,63.479339,1,1.55
CC1(CCC=O)COC1,CC1(CCCO)COC1,66.404146,1,1.55
CC1(COC1)OCC=O,CC1(COC1)OCCO,80.0908775,1,1.53
CC1(CCC=C1)C1CC1,CC1(CCCC1)C1CC1,100.939973,1,1.62
CC1(CCC=C1)C1CO1,CC1(CCCC1)C1CO1,108.0892095,1,1.6
OC1(CCC=C1)C1CC1,OC1(CCCC1)C1CC1,106.1148335,1,1.6
OC1(CCC=C1)C1CO1,OC1(CCCC1)C1CO1,110.454785,1,1.57
CC1(CC1)OCCC=O,CC1(CC1)OCCCO,65.999819,1,1.55
CC1(CCCC=O)CC1,CC1(CCCCO)CC1,65.5088505,1,1.57
CC1(CCCC=O)CO1,CC1(CCCCO)CO1,65.7293925,1,1.55
CC1(COCC=O)CC1,CC1(COCCO)CC1,80.0488695,1,1.55
CC1(COCC=O)CN1,CC1(COCCO)CN1,79.893965,1,1.54
CC1(COCC=O)CO1,CC1(COCCO)CO1,80.55034,1,1.53
CC12C(C=O)N1CC2=O,CC12C(CO)N1CC2O,61.91322825,2,3.12
CC12C3C1C1=CC3C2C1,CC12C3C1C1CC3C2C1,417.5726475,1,1.68
OC12C3C1C1=CC3C2C1,OC12C3C1C1CC3C2C1,420.206024,1,1.65
CC12C3C1C1=CCC3C21,CC12C3C1C1CCC3C21,311.7124875,1,1.68
OC12C3C1C1=CCC3C21,OC12C3C1C1CCC3C21,309.5543265,1,1.65
CC12C3C1C1C3C21C=O,CC12C3C1C1C3C21CO,55.340289,1,1.65
CC12C3C1N1C3C21C=O,CC12C3C1N1C3C21CO,83.1889675,1,1.64
CC12C3C4C(N13)C24C=O,CC12C3C4C(N13)C24CO,54.237579,1,1.64
CC12C3C1N1C3C(=O)C21,CC12C3C1N1C3C(O)C21,80.797137,1,1.64
CC12C3C1C1C3C=CC21,CC12C3C1C1C3CCC21,122.9022805,1,1.68
CC12C3C1N1C3C=CC21,CC12C3C1N1C3CCC21,127.089953,1,1.66
CC12C3C4C(C=CC14)N23,CC12C3C4C(CCC14)N23,124.548469,1,1.66
CC12C3C4C=CC1C4N23,CC12C3C4CCC1C4N23,124.459202,1,1.66
OC12C3C1C1C3C=CC21,OC12C3C1C1C3CCC21,123.498269,1,1.65
OC12C3C1N1C3C=CC21,OC12C3C1N1C3CCC21,127.294742,1,1.64
CC12C3C1C1C3CC=C21,CC12C3C1C1C3CCC21,313.0304885,1,1.68
CC12C3C4C(CC=C14)N23,CC12C3C4C(CCC14)N23,321.3612,1,1.66
CC12C3C4CC=C1C4N23,CC12C3C4CCC1C4N23,319.229294,1,1.66
OC12C3C1C1C3CC=C21,OC12C3C1C1C3CCC21,312.9359705,1,1.65
OC12C3C1N1CC=C2C31,OC12C3C1N1CCC2C31,324.128477,1,1.64
CC12C3C1C1C=C2CC31,CC12C3C1C1CC2CC31,415.165064,1,1.68
CC12C3C4C=C1CC4N23,CC12C3C4CC1CC4N23,418.5965925,1,1.66
CC12C3C4CC1=CC4N23,CC12C3C4CC1CC4N23,424.7350115,1,1.66
OC12C3C1C1C=C2CC31,OC12C3C1C1CC2CC31,414.020346,1,1.65
CC12C3C1C1C=CC3C21,CC12C3C1C1CCC3C21,121.6998015,1,1.68
CC12C3C1C1C=CC3N21,CC12C3C1C1CCC3N21,126.260295,1,1.66
CC12C3C4C=CC(C14)N23,CC12C3C4CCC(C14)N23,124.2727915,1,1.66
OC12C3C1C1C=CC3C21,OC12C3C1C1CCC3C21,122.5504635,1,1.65
CC12C3C4C(C4C1=O)C23,CC12C3C4C(C4C1O)C23,60.0845675,1,1.65
CC12C3C1C1(C=O)C2N31,CC12C3C1C1(CO)C2N31,84.0973905,1,1.64
CC12C3C4C1C4(C=O)C23,CC12C3C4C1C4(CO)C23,56.1095605,1,1.65
CC12C3C4C1C4(C=O)N23,CC12C3C4C1C4(CO)N23,74.537945,1,1.64
CC12C3C4N1C2C34C=O,CC12C3C4N1C2C34CO,53.8568815,1,1.64
CC12C3C4N1C4(C=O)C23,CC12C3C4N1C4(CO)C23,84.8062755,1,1.64
CC12C3C4C3C(=O)C1C24,CC12C3C4C3C(O)C1C24,59.031742,1,1.65
CC12C3C4C(N14)C23C=O,CC12C3C4C(N14)C23CO,53.339658,1,1.64
CC12C3C4C1C2(C=O)N34,CC12C3C4C1C2(CO)N34,65.138655,1,1.64
CC12C3C4C3C1(C=O)C24,CC12C3C4C3C1(CO)C24,50.435855,1,1.65
CC12C3C4C3C1(C=O)N24,CC12C3C4C3C1(CO)N24,71.828429,1,1.64
CC12C3C4N3C1C24C=O,CC12C3C4N3C1C24CO,56.39574,1,1.64
CC12C3C4C3C1=CCC24,CC12C3C4C3C1CCC24,313.3980585,1,1.68
CC12C3CC=C1C1C3N21,CC12C3CCC1C1C3N21,319.2371705,1,1.66
OC12C3C4C3C1=CCC24,OC12C3C4C3C1CCC24,308.485748,1,1.65
CC12C3C4C(C1C3=O)N24,CC12C3C4C(C1C3O)N24,73.5691355,1,1.64
CC12C3C4C1C(=O)C2N34,CC12C3C4C1C(O)C2N34,65.758273,1,1.64
CC12C3C4C3C1C(=O)C24,CC12C3C4C3C1C(O)C24,56.794816,1,1.65
CC12C3C4C3C1C4C2=O,CC12C3C4C3C1C4C2O,72.752605,1,1.65
CC12C3C4C3N1C4C2=O,CC12C3C4C3N1C4C2O,82.361935,1,1.64
CC12C3C4C1C=CC2N34,CC12C3C4C1CCC2N34,121.8835865,1,1.66
CC12C3C4C3C1C=CC24,CC12C3C4C3C1CCC24,119.7411785,1,1.68
CC12C3C=CC1C1C3N21,CC12C3CCC1C1C3N21,121.3059765,1,1.66
OC12C3C4C1C=CC2N34,OC12C3C4C1CCC2N34,116.666718,1,1.64
OC12C3C4C3C1C=CC24,OC12C3C4C3C1CCC24,114.3063935,1,1.65
CC12C3C4C=C1CC2C34,CC12C3C4CC1CC2C34,255.2327315,1,1.68
CC12C3C4C=C1CC2N34,CC12C3C4CC1CC2N34,253.287236,1,1.66
OC12C3C4C=C1CC2C34,OC12C3C4CC1CC2C34,250.4123135,1,1.65
OC12C3C4C=C1CC2N34,OC12C3C4CC1CC2N34,254.3925715,1,1.64
CC12C3C=C4CC(C13)C24,CC12C3CC4CC(C13)C24,256.0938955,1,1.68
CC12C3C=C4CC(C14)N23,CC12C3CC4CC(C14)N23,253.912105,1,1.66
CC12C3C=C4CN(C13)C24,CC12C3CC4CN(C13)C24,243.8328105,1,1.66
OC12C3C=C4CC(C13)C24,OC12C3CC4CC(C13)C24,258.3833315,1,1.65
CC12C3C=C4CC1C4C23,CC12C3CC4CC1C4C23,260.675393,1,1.68
CC12C3C=C4CC1C4N23,CC12C3CC4CC1C4N23,267.407175,1,1.66
OC12C3C=C4CC1C4C23,OC12C3CC4CC1C4C23,266.7586765,1,1.65
CC12C3C=CC(C13)C2=O,CC12C3CCC(C13)C2O,88.63031625,2,3.25
CC12C3C=CC1C(=O)C23,CC12C3CCC1C(O)C23,82.676995,2,3.25
CC12C3C=CC1C=CC23,CC12C3CCC1CCC23,114.9050075,2,3.3
OC12C3C=CC1C=CC23,OC12C3CCC1CCC23,114.0819133,2,3.25
CC12C3CC(=CC1=O)C23,CC12C3CC(CC1O)C23,167.428135,2,3.25
CC12C3CC(=CC1=O)N23,CC12C3CC(CC1O)N23,156.6137005,2,3.22
CC12C3CC(C)(C13)C2=O,CC12C3CC(C)(C13)C2O,54.4607465,1,1.62
CC12C3CC(O)(C13)C2=O,CC12C3CC(O)(C13)C2O,68.058211,1,1.6
CC12C3N1CC3(C)C2=O,CC12C3N1CC3(C)C2O,60.0110535,1,1.61
CC12C3N1CC3(O)C2=O,CC12C3N1CC3(O)C2O,75.4174875,1,1.59
CC12C3OC(C)(C13)C2=O,CC12C3OC(C)(C13)C2O,77.2133295,1,1.6
CC12CC3C1C3(O)C2=O,CC12CC3C1C3(O)C2O,62.623426,1,1.6
CC12OC3C1C3(O)C2=O,CC12OC3C1C3(O)C2O,86.0980215,1,1.57
CC12C3C(CN13)C2C=O,CC12C3C(CN13)C2CO,65.4458385,1,1.61
CC12C3CC(C13)C2C=O,CC12C3CC(C13)C2CO,68.950881,1,1.62
CC12C3CC(C1C=O)N23,CC12C3CC(C1CO)N23,69.754284,1,1.61
CC12C3CN(C13)C2C=O,CC12C3CN(C13)C2CO,80.5214595,1,1.61
CC12C3OC(C13)C2C=O,CC12C3OC(C13)C2CO,72.1041065,1,1.6
CC12C3CC(CC13)C2=O,CC12C3CC(CC13)C2O,58.0944385,1,1.62
CC12C3CC(CN13)C2=O,CC12C3CC(CN13)C2O,66.8163495,1,1.61
CC12C3CC(OC13)C2=O,CC12C3CC(OC13)C2O,80.2484075,1,1.6
CC12C3OC(OC13)C2=O,CC12C3OC(OC13)C2O,91.215121,1,1.57
CC12C3C(CN13)CC2=O,CC12C3C(CN13)CC2O,45.5970585,1,1.61
CC12C3CC(CC1=O)C23,CC12C3CC(CC1O)C23,40.038875,1,1.62
CC12C3CC(CC1=O)N23,CC12C3CC(CC1O)N23,46.6682625,1,1.61
CC12C3CN(CC1=O)C23,CC12C3CN(CC1O)C23,45.625939,1,1.61
CC12C3OC(CC1=O)C23,CC12C3OC(CC1O)C23,52.9589605,1,1.6
CC12C3CC1(C)C(=O)C23,CC12C3CC1(C)C(O)C23,38.768133,1,1.62
CC12C3CC1(O)C(=O)C23,CC12C3CC1(O)C(O)C23,45.321381,1,1.6
CC12C3OC1(C)C(=O)C23,CC12C3OC1(C)C(O)C23,49.1414835,1,1.6
CC12CC3C(C1=O)C23O,CC12CC3C(C1O)C23O,56.7711865,1,1.6
CC12NC3C(C1=O)C23O,CC12NC3C(C1O)C23O,79.983232,1,1.59
CC12C3C=CC1(C)CN23,CC12C3CCC1(C)CN23,126.91667,1,1.64
CC12C3C=CC1(O)CN23,CC12C3CCC1(O)CN23,124.9738,1,1.61
CC12C3CC1(C)C=CC23,CC12C3CC1(C)CCC23,124.9344175,1,1.65
CC12C3CC1(O)C=CC23,CC12C3CC1(O)CCC23,127.819842,1,1.62
CC12CC3C(C=C1)C23O,CC12CC3C(CC1)C23O,120.5865895,1,1.62
OC12C3CC1(O)C=CC23,OC12C3CC1(O)CCC23,120.347669,1,1.6
CC12C3C=CC11CN2C31,CC12C3CCC11CN2C31,165.585034,1,1.66
CC12C3CC11C=CC2C31,CC12C3CC11CCC2C31,164.981169,1,1.68
CC12C3CC11C=CC2N31,CC12C3CC11CCC2N31,169.586296,1,1.66
OC12C3CC11C=CC2C31,OC12C3CC11CCC2C31,170.169157,1,1.65
OC12C3CC11C=CC2N31,OC12C3CC11CCC2N31,174.2833155,1,1.64
CC12C3CC1=CC(=O)C23,CC12C3CC1CC(O)C23,167.0855072,2,3.25
CC12C3CC1=CCCC23,CC12C3CC1CCCC23,214.6635055,1,1.65
CC12C3CC1=CCOC23,CC12C3CC1CCOC23,221.292893,1,1.62
OC12C3CC1=CCCC23,OC12C3CC1CCCC23,217.123599,1,1.62
OC12C3CC1=CCOC23,OC12C3CC1CCOC23,223.655843,1,1.6
CC12C3CC(C1=O)C23O,CC12C3CC(C1O)C23O,56.322226,1,1.6
CC12C3CC1C(=O)C23O,CC12C3CC1C(O)C23O,48.0125185,1,1.6
CC12C3NC(C1=O)C23O,CC12C3NC(C1O)C23O,79.6025345,1,1.59
CC12C3OC(C1=O)C23O,CC12C3OC(C1O)C23O,81.6609265,1,1.57
CC12C3OC1C(=O)C23O,CC12C3OC1C(O)C23O,63.3191835,1,1.57
CC12C3CC1C(=O)C2C3,CC12C3CC1C(O)C2C3,47.4874185,1,1.62
CC12C3CC1C(=O)C2O3,CC12C3CC1C(O)C2O3,68.3811475,1,1.6
CC12C3CN1CC2C3=O,CC12C3CN1CC2C3O,55.1748825,1,1.61
CC12C3CC(=O)C1CN23,CC12C3CC(O)C1CN23,58.417375,1,1.61
CC12C3CC(=O)C1OC23,CC12C3CC(O)C1OC23,66.834728,1,1.6
CC12C3CC1C(=O)CC23,CC12C3CC1C(O)CC23,55.272026,1,1.62
CC12C3CC1C(=O)CN23,CC12C3CC1C(O)CN23,59.840396,1,1.61
CC12C3CC1C(C3)C2=O,CC12C3CC1C(C3)C2O,47.700084,1,1.62
CC12C3CC1C(O3)C2=O,CC12C3CC1C(O3)C2O,67.4254655,1,1.6
CC12C3CN1C(C3)C2=O,CC12C3CN1C(C3)C2O,71.5527515,1,1.61
CC12C3C(C=O)C1CN23,CC12C3C(CO)C1CN23,65.348695,1,1.61
CC12C3CC1C(C=O)C23,CC12C3CC1C(CO)C23,64.098957,1,1.62
CC12C3CC1C(C=O)N23,CC12C3CC1C(CO)N23,81.1883365,1,1.61
CC12C3CN1C(C=O)C23,CC12C3CN1C(CO)C23,82.346182,1,1.61
CC12C3OC1C(C=O)C23,CC12C3OC1C(CO)C23,67.202298,1,1.6
CC12C3CC1C3CC2=O,CC12C3CC1C3CC2O,48.6741445,1,1.62
CC12C3OC1C3CC2=O,CC12C3OC1C3CC2O,53.3580365,1,1.6
CC12C3CC1C=CC2C3,CC12C3CC1CCC2C3,103.738756,1,1.65
OC12C3CC1C=CC2C3,OC12C3CC1CCC2C3,102.6124165,1,1.62
CC12C3CC1C=CCC23,CC12C3CC1CCCC23,103.281919,1,1.65
CC12C3CC=CC1OC23,CC12C3CCCC1OC23,111.6546385,1,1.62
OC12C3CC1C=CCC23,OC12C3CC1CCCC23,102.751568,1,1.62
OC12C3CC=CC1OC23,OC12C3CCCC1OC23,113.9020665,1,1.6
CC12C3CC1CC(=O)C23,CC12C3CC1CC(O)C23,39.261727,1,1.62
CC12C3OC1CC(=O)C23,CC12C3OC1CC(O)C23,43.121212,1,1.6
CC12C3CC1CC23C=O,CC12C3CC1CC23CO,52.945833,1,1.62
CC12C3CC1OC23C=O,CC12C3CC1OC23CO,73.9577095,1,1.6
CC12C3CN1CC23C=O,CC12C3CN1CC23CO,56.558521,1,1.61
CC12C3OC1CC23C=O,CC12C3OC1CC23CO,56.579525,1,1.6
CC12C3CC1CC=C2C3,CC12C3CC1CCC2C3,187.030118,1,1.65
OC12C3CC1CC=C2C3,OC12C3CC1CCC2C3,187.6418595,1,1.62
CC12C3CC1CC=CC23,CC12C3CC1CCCC23,90.989328,1,1.65
OC12C3CC1CC=CC23,OC12C3CC1CCCC23,90.227933,1,1.62
CC12C(C=O)C1C1CN21,CC12C(CO)C1C1CN21,69.559997,1,1.61
CC12C3CC3N1C2C=O,CC12C3CC3N1C2CO,63.542351,1,1.61
CC12C(C=O)C1N1CC21,CC12C(CO)C1N1CC21,59.2496585,1,1.61
CC12C3CC3C1CC2=O,CC12C3CC3C1CC2O,42.806152,1,1.62
CC12C3CC3N1CC2=O,CC12C3CC3N1CC2O,48.587503,1,1.61
CC12C3CN3C1CC2=O,CC12C3CN3C1CC2O,47.243247,1,1.61
CC12C3NC3C1CC2=O,CC12C3NC3C1CC2O,62.408135,1,1.61
CC12C3OC3C1CC2=O,CC12C3OC3C1CC2O,60.969361,1,1.6
CC12C3CC=C1C=CC23,CC12C3CCC1CCC23,192.4557137,2,3.3
OC12C3CC=C1C=CC23,OC12C3CCC1CCC23,191.1560913,2,3.25
CC12C3C(CCN13)C2=O,CC12C3C(CCN13)C2O,42.0946415,1,1.61
CC12C3CCC(C13)C2=O,CC12C3CCC(C13)C2O,46.4687245,1,1.62
CC12C3COC(C13)C2=O,CC12C3COC(C13)C2O,64.492782,1,1.6
CC12C3OCC(C13)C2=O,CC12C3OCC(C13)C2O,45.3607635,1,1.6
CC12C3CC=C1COC23,CC12C3CCC1COC23,242.4097895,1,1.62
CC12C3CCC1=CCC23,CC12C3CCC1CCC23,219.7832305,1,1.65
OC12C3CC=C1COC23,OC12C3CCC1COC23,242.6250805,1,1.6
OC12C3CCC1=CCC23,OC12C3CCC1CCC23,218.1764245,1,1.62
CC12C3CCC1C(=O)C23,CC12C3CCC1C(O)C23,36.3447965,1,1.62
CC12C3COC1C(=O)C23,CC12C3COC1C(O)C23,48.209431,1,1.6
CC12C3OCC1C(=O)C23,CC12C3OCC1C(O)C23,38.043495,1,1.6
CC12C3CCC1C=CC23,CC12C3CCC1CCC23,110.8407335,1,1.65
OC12C3CCC1C=CC23,OC12C3CCC1CCC23,109.4439675,1,1.62
CC12C=C3CC4C1C2C34,CC12CC3CC4C1C2C34,257.98163,1,1.68
CC12C=C3CC4C1N2C34,CC12CC3CC4C1N2C34,264.760671,1,1.66
CC12C=C3CC4C3C1N24,CC12CC3CC4C3C1N24,255.818218,1,1.66
OC12C=C3CC4C1C2C34,OC12CC3CC4C1C2C34,257.8109725,1,1.65
CC12C=CC(C=C1)C2=O,CC12CCC(CC1)C2O,106.0640738,3,4.8
CC12C=CC3(C)C1CC23,CC12CCC3(C)C1CC23,153.691519,1,1.65
CC12C=CC3(C)C1OC23,CC12CCC3(C)C1OC23,153.523487,1,1.62
CC12C=CC3(O)C1CC23,CC12CCC3(O)C1CC23,156.821115,1,1.62
CC12C=CC3(O)C1OC23,CC12CCC3(O)C1OC23,173.4536575,1,1.6
OC12C=CC3(O)C1CC23,OC12CCC3(O)C1CC23,159.8640695,1,1.6
OC12C=CC3(O)C1NC23,OC12CCC3(O)C1NC23,161.2240785,1,1.59
OC12C=CC3(O)C1OC23,OC12CCC3(O)C1OC23,190.784583,1,1.57
CC12C=CC3(C)CC1C23,CC12CCC3(C)CC1C23,128.155906,1,1.65
CC12C=CC3(C)CN1C23,CC12CCC3(C)CN1C23,130.140784,1,1.64
CC12C=CC3(C)OC1C23,CC12CCC3(C)OC1C23,134.4124725,1,1.62
CC12C=CC3(O)CC1C23,CC12CCC3(O)CC1C23,130.8365415,1,1.62
CC12C=CC3(O)CN1C23,CC12CCC3(O)CN1C23,128.0902685,1,1.61
CC12CC3C1C3(O)C=C2,CC12CC3C1C3(O)CC2,129.2822455,1,1.62
OC12C=CC3(O)CC1C23,OC12CCC3(O)CC1C23,131.8919925,1,1.6
CC12C=CC34CC(C13)C24,CC12CCC34CC(C13)C24,169.066447,1,1.68
CC12C=CC34CC(C13)N24,CC12CCC34CC(C13)N24,173.414275,1,1.66
CC12C=CC34CN(C13)C24,CC12CCC34CN(C13)C24,168.992933,1,1.66
CC12C=CC34OC(C13)C24,CC12CCC34OC(C13)C24,176.559624,1,1.65
OC12C=CC34CC(C13)C24,OC12CCC34CC(C13)C24,168.97718,1,1.65
OC12C=CC34CN(C13)C24,OC12CCC34CN(C13)C24,177.5179315,1,1.64
OC12C=CC34OC(C13)C24,OC12CCC34OC(C13)C24,177.047967,1,1.62
CC12C=CC3=CCC1C23,CC12CCC3CCC1C23,195.6561983,2,3.3
OC12C=CC3=CCC1C23,OC12CCC3CCC1C23,195.8846168,2,3.25
CC12C=CC3C(C13)C2=O,CC12CCC3C(C13)C2O,89.624068,2,3.25
CC12C=CC3C(C=C1)C23,CC12CCC3C(CC1)C23,115.1675575,2,3.3
OC12C=CC3C(C=C1)C23,OC12CCC3C(CC1)C23,117.2994635,2,3.25
CC12C=CC3C1C2C3=O,CC12CCC3C1C2C3O,84.07769925,2,3.25
CC12C=CC3C1C=CC23,CC12CCC3C1CCC23,161.3776702,2,3.3
OC12C=CC3C1C=CC23,OC12CCC3C1CCC23,164.8407048,2,3.25
CC12C=CC3C1CCC23,CC12CCC3C1CCC23,157.1913105,1,1.65
CC12C=CC3C1COC23,CC12CCC3C1COC23,147.941674,1,1.62
OC12C=CC3C1CCC23,OC12CCC3C1CCC23,159.1499335,1,1.62
OC12C=CC3C1COC23,OC12CCC3C1COC23,152.037454,1,1.6
CC12C=CC3C1C1C2N31,CC12CCC3C1C1C2N31,124.9134135,1,1.66
CC12C=CC3C4C(C13)N24,CC12CCC3C4C(C13)N24,124.2412855,1,1.66
CC12C=CC3C4C(C14)C23,CC12CCC3C4C(C14)C23,122.568842,1,1.68
CC12C=CC3C4C(C14)N23,CC12CCC3C4C(C14)N23,126.3311835,1,1.66
CC12C=CC3C4C1N4C23,CC12CCC3C4C1N4C23,124.422445,1,1.66
OC12C=CC3C1C1C2N31,OC12CCC3C1C1C2N31,124.480206,1,1.64
OC12C=CC3C4C(C14)C23,OC12CCC3C4C(C14)C23,123.18846,1,1.65
OC12C=CC3C4C1N4C23,OC12CCC3C4C1N4C23,124.385688,1,1.64
CC12C=CC3C4C1C2N34,CC12CCC3C4C1C2N34,83.17584,1,1.66
CC12C=CC3C4C3C1C24,CC12CCC3C4C3C1C24,82.0757555,1,1.68
CC12C=CC3C4C3N1C24,CC12CCC3C4C3N1C24,82.4958355,1,1.66
OC12C=CC3C4C1C2N34,OC12CCC3C4C1C2N34,86.48397,1,1.64
OC12C=CC3C4C3C1C24,OC12CCC3C4C3C1C24,85.654312,1,1.65
CC12C=CC3C=CC1C23,CC12CCC3CCC1C23,117.0973,2,3.3
OC12C=CC3C=CC1C23,OC12CCC3CCC1C23,118.9207098,2,3.25
CC12C3CC1C=CC23O,CC12C3CC1CCC23O,126.1473985,1,1.62
CC12C3OC1C=CC23O,CC12C3OC1CCC23O,134.745911,1,1.6
CC12C=CC3CC1C23C,CC12CCC3CC1C23C,125.157585,1,1.65
CC12C=CC3CC1C23O,CC12CCC3CC1C23O,124.34368,1,1.62
CC12C=CC3OC1C23C,CC12CCC3OC1C23C,132.787288,1,1.62
CC12C=CC3OC1C23O,CC12CCC3OC1C23O,132.27269,1,1.6
OC12C=CC3CC1C23O,OC12CCC3CC1C23O,126.1421475,1,1.6
OC12C=CC3OC1C23O,OC12CCC3OC1C23O,129.442401,1,1.57
CC12C=CC3CC1C2C3,CC12CCC3CC1C2C3,97.442807,1,1.65
CC12C=CC3CC1C2O3,CC12CCC3CC1C2O3,104.8913505,1,1.62
CC12C=CC3OC1C2O3,CC12CCC3OC1C2O3,109.2864375,1,1.6
OC12C=CC3CC1C2C3,OC12CCC3CC1C2C3,101.727623,1,1.62
OC12C=CC3CC1C2O3,OC12CCC3CC1C2O3,109.184043,1,1.6
OC12C=CC3OC1C2O3,OC12CCC3OC1C2O3,113.3874685,1,1.57
CC12C=CC3CC1CC23,CC12CCC3CC1CC23,128.728265,1,1.65
CC12C=CC3CC1OC23,CC12CCC3CC1OC23,126.5989845,1,1.62
CC12C=CC3OC1CC23,CC12CCC3OC1CC23,133.6983365,1,1.62
OC12C=CC3CC1CC23,OC12CCC3CC1CC23,130.655382,1,1.62
OC12C=CC3CC1OC23,OC12CCC3CC1OC23,142.076307,1,1.6
OC12C=CC3OC1CC23,OC12CCC3OC1CC23,135.906382,1,1.6
CC12C=CC3CCC1C23,CC12CCC3CCC1C23,112.208619,1,1.65
CC12C=CC3COC1C23,CC12CCC3COC1C23,121.271845,1,1.62
CC12C=CC3OCC1C23,CC12CCC3OCC1C23,122.8392685,1,1.62
OC12C=CC3CCC1C23,OC12CCC3CCC1C23,114.408788,1,1.62
OC12C=CC3COC1C23,OC12CCC3COC1C23,122.8970295,1,1.6
OC12C=CC3OCC1C23,OC12CCC3OCC1C23,126.354813,1,1.6
CC12C=CCC11CC2C1,CC12CCCC11CC2C1,113.7025285,1,1.65
CC12C=CCC11CC2O1,CC12CCCC11CC2O1,121.161574,1,1.62
OC12C=CCC11CC2C1,OC12CCCC11CC2C1,112.4790455,1,1.62
OC12C=CCC11CC2O1,OC12CCCC11CC2O1,118.599086,1,1.6
CC12C=CCC1C1CC21,CC12CCCC1C1CC21,98.7319275,1,1.65
CC12C=CCC1C1OC21,CC12CCCC1C1OC21,106.905109,1,1.62
CC12C=CCC1N1CC21,CC12CCCC1N1CC21,95.0037175,1,1.64
OC12C=CCC1C1CC21,OC12CCCC1C1CC21,102.7279385,1,1.62
OC12C=CCC1C1NC21,OC12CCCC1C1NC21,110.790849,1,1.61
OC12C=CCC1C1OC21,OC12CCCC1C1OC21,106.1358375,1,1.6
OC12C=CCC1N1CC21,OC12CCCC1N1CC21,99.459191,1,1.61
CC12C=CCC1C2C=O,CC12CCCC1C2CO,80.72756125,2,3.2
CC12C=CCN1C2C=O,CC12CCCN1C2CO,83.92279475,2,3.17
CC12C=CCC1CC2=O,CC12CCCC1CC2O,76.62915575,2,3.2
CC12C=CCC1CC=C2,CC12CCCC1CCC2,105.7682675,2,3.25
OC12C=CCC1CC=C2,OC12CCCC1CCC2,110.6464465,2,3.2
CC12C=CCC3C1CC23,CC12CCCC3C1CC23,102.3288625,1,1.65
CC12C=CCC3C1OC23,CC12CCCC3C1OC23,102.9589825,1,1.62
OC12C=CCC3C1CC23,OC12CCCC3C1CC23,107.8004045,1,1.62
OC12C=CCC3C1OC23,OC12CCCC3C1OC23,108.5407955,1,1.6
OC12C=CCN3C1CC23,OC12CCCN3C1CC23,110.3261355,1,1.61
CC12C=CCC3CC1C23,CC12CCCC3CC1C23,93.3233975,1,1.65
CC12C=CCC3OC1C23,CC12CCCC3OC1C23,100.7010525,1,1.62
OC12C=CCC3CC1C23,OC12CCCC3CC1C23,100.6905505,1,1.62
OC12C=CCC3OC1C23,OC12CCCC3OC1C23,106.831595,1,1.6
CC12CC(=O)C1C1CC21,CC12CC(O)C1C1CC21,43.5833,1,1.62
CC12CC(=O)C1C1CN21,CC12CC(O)C1C1CN21,48.4956105,1,1.61
CC12CC(=O)C1C1NC21,CC12CC(O)C1C1NC21,62.471147,1,1.61
CC12CC(=O)C1C1OC21,CC12CC(O)C1C1OC21,61.116389,1,1.6
CC12CC(=O)C1N1CC21,CC12CC(O)C1N1CC21,47.385024,1,1.61
CC12CC(=O)C1C2C=O,CC12CC(O)C1C2CO,58.97004275,2,3.15
CC12CC(=O)C1C=CC2,CC12CC(O)C1CCC2,77.53232775,2,3.2
CC12CC(=O)C1CC=C2,CC12CC(O)C1CCC2,77.29603275,2,3.2
CC12CC(=O)C1CCC2,CC12CC(O)C1CCC2,54.7285475,1,1.6
CC12CC(=O)C1CCO2,CC12CC(O)C1CCO2,50.1181695,1,1.57
CC12CC(=O)C1COC2,CC12CC(O)C1COC2,55.2273925,1,1.57
CC12CC(=O)C1OCC2,CC12CC(O)C1OCC2,54.4659975,1,1.57
CC12CC(=O)C1OCO2,CC12CC(O)C1OCO2,59.5962245,1,1.55
